fecha,valor
2023-03-02 14:27:03,4877.2339
2023-03-02 14:27:20,4877.2277
2023-03-02 14:27:22,4877.2215
2023-03-02 14:27:41,4877.1364
2023-03-02 14:27:46,4877.1304
2023-03-02 14:27:53,4877.1224
2023-03-02 14:28:24,4877.1139
2023-03-02 14:28:30,4877.1066
2023-03-02 14:28:32,4877.0997
2023-03-02 14:28:49,4877.0924
2023-03-02 14:28:55,4877.0851
2023-03-02 14:28:56,4877.0766
2023-03-02 14:29:03,4877.0588
2023-03-02 14:29:04,4877.0492
2023-03-02 14:29:05,4877.0016
2023-03-02 14:29:10,4876.9921
2023-03-02 14:29:11,4876.8607
2023-03-02 14:29:12,4876.832
2023-03-02 14:29:21,4876.8122
2023-03-02 14:29:35,4876.8033
2023-03-02 14:30:06,4876.7937
2023-03-02 14:30:08,4876.7838
2023-03-02 14:30:41,4876.7743
2023-03-02 14:31:00,4876.7247
2023-03-02 14:31:02,4876.6518
2023-03-02 14:31:16,4876.6418
2023-03-02 14:31:19,4876.592
2023-03-02 14:31:27,4876.5816
2023-03-02 14:31:28,4876.4248
2023-03-02 14:31:29,4876.4145
2023-03-02 14:32:08,4876.3827
2023-03-02 14:33:10,4876.3737
2023-03-02 14:33:27,4876.3628
2023-03-02 14:33:35,4876.3517
2023-03-02 14:33:37,4876.3405
2023-03-02 14:33:39,4876.3293
2023-03-02 14:33:40,4876.3063
2023-03-02 14:33:41,4876.1687
2023-03-02 14:33:44,4876.1436
2023-03-02 14:33:47,4876.1309
2023-03-02 14:33:48,4876.0925
2023-03-02 14:33:51,4876.0406
2023-03-02 14:34:01,4875.9468
2023-03-02 14:34:03,4875.9198
2023-03-02 14:34:05,4875.893
2023-03-02 14:34:06,4875.8796
2023-03-02 14:34:07,4875.8529
2023-03-02 14:34:08,4875.8267
2023-03-02 14:34:09,4875.7904
2023-03-02 14:34:32,4875.7772
2023-03-02 14:34:33,4875.7638
2023-03-02 14:34:34,4875.7502
2023-03-02 14:34:35,4875.7228
2023-03-02 14:34:51,4875.6949
2023-03-02 14:34:58,4875.6805
2023-03-02 14:35:08,4875.6679
2023-03-02 14:35:34,4875.6541
2023-03-02 14:35:40,4875.6395
2023-03-02 14:35:51,4875.6248
2023-03-02 14:35:52,4875.6111
2023-03-02 14:36:00,4875.5974
2023-03-02 14:36:30,4875.5843
2023-03-02 14:36:31,4875.528
2023-03-02 14:36:47,4875.4974
2023-03-02 14:37:04,4875.3346
2023-03-02 14:37:29,4875.3209
2023-03-02 14:37:55,4875.2686
2023-03-02 14:37:58,4875.2164
2023-03-02 14:38:09,4875.1646
2023-03-02 14:38:12,4875.1129
2023-03-02 14:38:19,4875.0998
2023-03-02 14:38:21,4875.0861
2023-03-02 14:40:15,4875.0652
2023-03-02 14:40:30,4875.0533
2023-03-02 14:40:31,4875.0425
2023-03-02 14:42:31,4875.0324
2023-03-02 14:43:14,4875.02
2023-03-02 14:43:16,4875.0076
2023-03-02 14:43:20,4874.9949
2023-03-02 14:43:21,4874.9821
2023-03-02 14:43:22,4874.9692
2023-03-02 14:43:28,4874.9563
2023-03-02 14:43:31,4874.9434
2023-03-02 14:44:19,4874.9301
2023-03-02 14:45:49,4874.9194
2023-03-02 14:46:01,4874.9089
2023-03-02 14:46:02,4874.8989
2023-03-02 14:46:04,4874.8889
2023-03-02 14:46:07,4874.8789
2023-03-02 14:46:15,4874.8685
2023-03-02 14:46:45,4874.8192
2023-03-02 14:46:46,4874.8093
2023-03-02 14:46:47,4874.7995
2023-03-02 14:46:48,4874.7702
2023-03-02 14:46:49,4874.7409
2023-03-02 14:46:50,4874.7215
2023-03-02 14:46:53,4874.7124
2023-03-02 14:46:55,4874.6953
2023-03-02 14:46:58,4874.6868
2023-03-02 14:48:06,4874.6697
2023-03-02 14:49:07,4874.6528
2023-03-02 14:49:11,4874.6443
2023-03-02 14:49:30,4874.6359
2023-03-02 14:49:53,4874.6259
2023-03-02 14:49:54,4874.616
2023-03-02 14:49:55,4874.6059
2023-03-02 14:50:02,4874.5958
2023-03-02 14:50:29,4874.5853
2023-03-02 14:51:03,4874.5742
